sample_id,status
0,success
4,success
6,success
11,success
12,success
16,success
22,success
24,success
30,success
33,success
34,success
38,success
39,success
46,success
52,success
54,success
60,success
70,success
77,success
79,success
87,success
88,success
96,success
103,success
105,success
106,success
110,success
111,success
112,success
115,success
119,success
121,success
124,success
129,success
130,success
131,success
144,success
147,success
149,success
151,success
161,success
164,success
170,success
172,success
174,success
175,success
180,success
183,success
186,success
196,success
197,success
198,success
208,success
211,success
219,success
221,success
222,success
230,success
235,success
239,success
254,success
256,success
260,success
262,success
264,success
265,success
267,success
271,success
274,success
277,success
282,success
283,success
295,success
298,success
304,success
305,success
307,success
308,success
313,success
315,success
317,success
321,success
323,success
331,success
337,success
349,success
350,success
353,success
355,success
356,success
358,success
361,success
362,success
366,success
367,success
369,success
371,success
378,success
380,success
382,success
384,success
385,success
386,success
391,success
394,success
397,success
400,success
402,success
403,success
406,success
408,success
413,success
417,success
423,success
428,success
431,success
436,success
447,success
450,success
452,success
459,success
465,success
472,success
476,success
483,success
488,success
493,success
495,success
499,success
501,success
502,success
504,success
505,success
508,success
510,success
523,success
524,success
527,success
528,success
546,success
549,success
562,success
565,success
567,success
569,success
572,success
575,success
588,success
589,success
597,success
602,success
612,success
616,success
619,success
621,success
629,success
630,success
631,success
634,success
644,success
653,success
658,success
659,success
674,success
677,success
690,success
696,success
697,success
698,success
704,success
705,success
710,success
713,success
715,success
721,success
730,success
731,success
735,success
751,success
752,success
772,success
774,success
775,success
778,success
782,success
787,success
789,success
790,success
791,success
796,success
797,success
800,success
803,success
811,success
835,success
844,success
849,success
852,success
854,success
861,success
868,success
869,success
870,success
871,success
878,success
883,success
884,success
889,success
891,success
896,success
899,success
900,success
902,success
904,success
912,success
919,success
920,success
923,success
925,success
926,success
931,success
935,success
939,success
940,success
941,success
943,success
945,success
949,success
951,success
954,success
955,success
960,success
963,success
964,success
970,success
976,success
983,success
985,success
986,success
988,success
989,success
990,success
991,success
992,success
998,success
1002,success
1005,success
1007,success
1009,success
1011,success
1013,success
1014,success
1017,success
1020,success
1023,success
1024,success
1025,success
1026,success
1027,success
1028,success
1031,success
1037,success
1039,success
1043,success
1047,success
1054,success
1060,success
1069,success
1071,success
1077,success
1081,success
1086,success
1089,success
1099,success
1105,success
1107,success
1108,success
1110,success
1111,success
1113,success
1116,success
1120,success
1124,success
1129,success
1134,success
1136,success
1146,success
1149,success
1156,success
1159,success
1164,success
1166,success
1174,success
1182,success
1184,success
1192,success
1195,success
1199,success
1202,success
1205,success
1211,success
1225,success
1230,success
1235,success
1237,success
1238,success
1239,success
1243,success
1248,success
1249,success
1250,success
1260,success
1262,success
1266,success
1271,success
1275,success
1281,success
1285,success
1295,success
1300,success
1305,success
1309,success
1315,success
1319,success
1321,success
1322,success
1323,success
1325,success
1343,success
1344,success
1351,success
1356,success
1361,success
1362,success
1364,success
1368,success
1370,success
1374,success
1375,success
1382,success
1389,success
1393,success
1397,success
1398,success
1402,success
1405,success
1411,success
1413,success
1415,success
1416,success
1417,success
1429,success
1438,success
1446,success
1449,success
1451,success
1452,success
1457,success
1461,success
1462,success
1467,success
1470,success
1472,success
1474,success
1475,success
1480,success
1482,success
1483,success
1486,success
1487,success
1488,success
1492,success
1496,success
1502,success
1510,success
1516,success
1526,success
1527,success
1530,success
1534,success
1535,success
1538,success
1540,success
1547,success
1549,success
1550,success
1554,success
1557,success
1560,success
1566,success
1567,success
1570,success
1572,success
1574,success
1582,success
1589,success
1592,success
1595,success
1599,success
1608,success
1612,success
1617,success
1619,success
1624,success
1626,success
1629,success
1632,success
1637,success
1642,success
1647,success
1651,success
1654,success
1656,success
1659,success
1674,success
1678,success
1680,success
1682,success
1683,success
1684,success
1687,success
1690,success
1700,success
1702,success
1704,success
1707,success
1708,success
1710,success
1711,success
1715,success
1717,success
1721,success
1725,success
1727,success
1738,success
1742,success
1746,success
1749,success
1765,success
1768,success
1771,success
1776,success
1778,success
1779,success
1781,success
1784,success
1790,success
1794,success
1798,success
1801,success
1802,success
1807,success
1810,success
1818,success
1831,success
1834,success
1837,success
1842,success
1843,success
1851,success
1858,success
1860,success
1865,success
1866,success
1870,success
1876,success
1877,success
1878,success
1879,success
1883,success
1885,success
1891,success
1898,success
1899,success
1900,success
1901,success
1923,success
1931,success
1932,success
1934,success
1936,success
1938,success
1945,success
1951,success
1954,success
1956,success
1958,success
1962,success
1964,success
1966,success
1968,success
1972,success
1976,success
1979,success
1983,success
1987,success
1988,success
1994,success
1997,success
2002,success
2006,success
2009,success
2010,success
2011,success
2022,success
2031,success
2032,success
2033,success
2034,success
2037,success
2042,success
2044,success
2047,success
2058,success
2060,success
2062,success
2071,success
2084,success
2086,success
2089,success
2090,success
2092,success
2095,success
2103,success
2105,success
2110,success
2111,success
2113,success
2115,success
2119,success
2122,success
2129,success
2136,success
2138,success
2141,success
2143,success
2145,success
2146,success
2148,success
2151,success
2152,success
2153,success
2154,success
2160,success
2162,success
2163,success
2165,success
2167,success
2169,success
2173,success
2174,success
2176,success
2179,success
2181,success
2182,success
2186,success
2190,success
2192,success
2202,success
2207,success
2211,success
2212,success
2225,success
2226,success
2233,success
2240,success
2242,success
2251,success
2254,success
2255,success
2259,success
2262,success
2265,success
2268,success
2269,success
2270,success
2271,success
2276,success
2284,success
2286,success
2287,success
2294,success
2295,success
2296,success
2298,success
2300,success
2302,success
2306,success
2315,success
2316,success
2319,success
2323,success
2324,success
2327,success
2328,success
2336,success
2342,success
2343,success
2346,success
2347,success
2353,success
2362,success
2363,success
2365,success
2374,success
2375,success
2379,success
2381,success
2385,success
2392,success
2402,success
2403,success
2406,success
2409,success
2417,success
2423,success
2428,success
2429,success
2432,success
2436,success
2444,success
2448,success
2454,success
2458,success
2459,success
2463,success
2467,success
2481,success
2484,success
2486,success
2494,success
2495,success
2501,success
2502,success
2503,success
2511,success
2515,success
2518,success
2519,success
2530,success
2532,success
2533,success
2534,success
2537,success
2541,success
2545,success
2549,success
2550,success
2552,success
2556,success
2557,success
2558,success
2562,success
2563,success
2570,success
2571,success
2579,success
2580,success
2583,success
2588,success
2591,success
2597,success
2601,success
2602,success
2603,success
2605,success
2609,success
2611,success
2616,success
2617,success
2619,success
2623,success
2624,success
2629,success
2633,success
2660,success
2661,success
2669,success
2672,success
2675,success
2679,success
2682,success
2685,success
2688,success
2694,success
2695,success
2708,success
2709,success
2713,success
2715,success
2717,success
2721,success
2723,success
2724,success
2725,success
2727,success
2729,success
2733,success
2735,success
2736,success
2739,success
2740,success
2741,success
2746,success
2748,success
2750,success
2755,success
2756,success
2757,success
2761,success
2764,success
2778,success
2785,success
2791,success
2796,success
2798,success
2801,success
2804,success
2814,success
2815,success
2822,success
2833,success
2835,success
2839,success
2845,success
2847,success
2848,success
2849,success
2852,success
2856,success
2860,success
2861,success
2870,success
2872,success
2879,success
2888,success
2889,success
2890,success
2891,success
2893,success
2898,success
2904,success
2905,success
2913,success
2917,success
2918,success
2937,success
2943,success
2945,success
2954,success
2955,success
2957,success
2969,success
2977,success
2980,success
2981,success
2985,success
2986,success
2987,success
2989,success
2992,success
2999,success
3014,success
3024,success
3025,success
3026,success
3028,success
3054,success
3063,success
